DueDate,Customer,Plant,Item,QTY,Sales,SONUM,CustName,CPO,Salesman,CustNum,BIN,Plant2,Load #,Address1,Address2,City,State,ZIP
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,3,5620.71,12535883,RUNNINGS,4397716-2,Jeff Good,RUNNINGS,USA,IA,IA25-1910,115 FIRST STREET EAST,507-223-5446,CANBY,MN,56220
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,2,3314.54,12535898,RUNNINGS,4397716-4,Jeff Good,RUNNINGBRO,USA,IA,IA25-1910,2421 6TH STREET,(605)291-4646,BROOKINGS,SD,57006
2/13/2026,MIDSTATES,IA-TRLR,6X12GWHS,1,2006.44,12535898,RUNNINGS,4397716-4,Jeff Good,RUNNINGBRO,USA,IA,IA25-1910,2421 6TH STREET,(605)291-4646,BROOKINGS,SD,57006
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,2,3747.14,12535898,RUNNINGS,4397716-4,Jeff Good,RUNNINGBRO,USA,IA,IA25-1910,2421 6TH STREET,(605)291-4646,BROOKINGS,SD,57006
2/13/2026,MIDSTATES,IA-TRLR,7X14GWRS,2,4892.5,12535898,RUNNINGS,4397716-4,Jeff Good,RUNNINGBRO,USA,IA,IA25-1910,2421 6TH STREET,(605)291-4646,BROOKINGS,SD,57006
2/13/2026,MIDSTATES,IA-ALTRLR,6X10AGW,1,2410.2,12535902,RUNNINGS,4397716-9,Jeff Good,RUNNINGWIL,USA-AL,IA,IA25-1913,3031 S. FIRST STREET,320-235-1325,WILLMAR,MN,56201
2/13/2026,MIDSTATES,IA-TRLR,5X8GW2K,1,908.98,12535902,RUNNINGS,4397716-9,Jeff Good,RUNNINGWIL,USA-NG,IA,IA25-1913,3031 S. FIRST STREET,320-235-1325,WILLMAR,MN,56201
2/13/2026,MIDSTATES,IA-TRLR,5X8SPWOODY,1,1089.74,12535902,RUNNINGS,4397716-9,Jeff Good,RUNNINGWIL,USA,IA,IA25-1913,3031 S. FIRST STREET,320-235-1325,WILLMAR,MN,56201
2/13/2026,MIDSTATES,IA-TRLR,6X10GWHSL3K,1,1899.32,12535902,RUNNINGS,4397716-9,Jeff Good,RUNNINGWIL,USA,IA,IA25-1913,3031 S. FIRST STREET,320-235-1325,WILLMAR,MN,56201
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,1,1873.57,12535902,RUNNINGS,4397716-9,Jeff Good,RUNNINGWIL,USA,IA,IA25-1913,3031 S. FIRST STREET,320-235-1325,WILLMAR,MN,56201
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,1,1657.27,12535904,RUNNINGS,4397716-13,Jeff Good,RUNNINGWOR,USA,IA,IA25-1908,1727 OXFORD ST.,507-372-7351,WORTHINGTON,MN,56187
2/13/2026,MIDSTATES,IA-TRLR,5X10GW2K,2,2253.64,12535904,RUNNINGS,4397716-13,Jeff Good,RUNNINGWOR,USA,IA,IA25-1908,1727 OXFORD ST.,507-372-7351,WORTHINGTON,MN,56187
2/13/2026,MIDSTATES,IA-TRLR,5X8SPWOODY,1,1089.74,12535904,RUNNINGS,4397716-13,Jeff Good,RUNNINGWOR,USA,IA,IA25-1908,1727 OXFORD ST.,507-372-7351,WORTHINGTON,MN,56187
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,3,5620.71,12535904,RUNNINGS,4397716-13,Jeff Good,RUNNINGWOR,USA,IA,IA25-1908,1727 OXFORD ST.,507-372-7351,WORTHINGTON,MN,56187
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,5,8286.35,12535905,RUNNINGS,4397716-12,Jeff Good,RUNNINGRED,USA,IA,IA25-1908,411 POTTER STREET,(651) 388-7161,RED WING,MN,55066
2/13/2026,MIDSTATES,IA-TRLR,5X8GW2K,1,908.98,12535905,RUNNINGS,4397716-12,Jeff Good,RUNNINGRED,USA-NG,IA,IA25-1908,411 POTTER STREET,(651) 388-7161,RED WING,MN,55066
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,1,1873.57,12535905,RUNNINGS,4397716-12,Jeff Good,RUNNINGRED,USA,IA,IA25-1908,411 POTTER STREET,(651) 388-7161,RED WING,MN,55066
2/13/2026,MIDSTATES,IA-TRLR,4X6T,2,1200.98,12535907,RUNNINGS,4397716-8,Jeff Good,RUNNINGNEW,USA,IA,IA25-1909,2107 N GARDEN STREET,(507) 401-5110,NEW ULM,MN,56073
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,1,1657.27,12535907,RUNNINGS,4397716-8,Jeff Good,RUNNINGNEW,USA,IA,IA25-1909,2107 N GARDEN STREET,(507) 401-5110,NEW ULM,MN,56073
2/13/2026,MIDSTATES,IA-TRLR,5X10GW2K,1,1126.82,12535907,RUNNINGS,4397716-8,Jeff Good,RUNNINGNEW,USA,IA,IA25-1909,2107 N GARDEN STREET,(507) 401-5110,NEW ULM,MN,56073
2/13/2026,MIDSTATES,IA-TRLR,5X8SPWOODY,1,1089.74,12535907,RUNNINGS,4397716-8,Jeff Good,RUNNINGNEW,USA,IA,IA25-1909,2107 N GARDEN STREET,(507) 401-5110,NEW ULM,MN,56073
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,1,1873.57,12535907,RUNNINGS,4397716-8,Jeff Good,RUNNINGNEW,USA,IA,IA25-1909,2107 N GARDEN STREET,(507) 401-5110,NEW ULM,MN,56073
2/13/2026,MIDSTATES,IA-TRLR,7X14GWRS,1,2446.25,12535907,RUNNINGS,4397716-8,Jeff Good,RUNNINGNEW,USA,IA,IA25-1909,2107 N GARDEN STREET,(507) 401-5110,NEW ULM,MN,56073
2/13/2026,MIDSTATES,IA-TRLR,4X6T,6,3602.94,12535908,RUNNINGS,4397716-16,Jeff Good,RUNNINGBIS,USA,IA,IA25-1904,701 SOUTH WASHINGTON,(701)-223-9582,BISMARCK,ND,58504
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,3,4971.81,12535908,RUNNINGS,4397716-16,Jeff Good,RUNNINGBIS,USA,IA,IA25-1904,701 SOUTH WASHINGTON,(701)-223-9582,BISMARCK,ND,58504
2/13/2026,MIDSTATES,IA-TRLR,5X8GW2K,1,908.98,12535908,RUNNINGS,4397716-16,Jeff Good,RUNNINGBIS,USA-NG,IA,IA25-1904,701 SOUTH WASHINGTON,(701)-223-9582,BISMARCK,ND,58504
2/13/2026,MIDSTATES,IA-TRLR,6X10GWHSL3K,2,3798.64,12535908,RUNNINGS,4397716-16,Jeff Good,RUNNINGBIS,USA,IA,IA25-1904,701 SOUTH WASHINGTON,(701)-223-9582,BISMARCK,ND,58504
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,2,3747.14,12535908,RUNNINGS,4397716-16,Jeff Good,RUNNINGBIS,USA,IA,IA25-1904,701 SOUTH WASHINGTON,(701)-223-9582,BISMARCK,ND,58504
2/13/2026,MIDSTATES,IA-TRLR,7X14GWRS,1,2446.25,12535908,RUNNINGS,4397716-16,Jeff Good,RUNNINGBIS,USA,IA,IA25-1904,701 SOUTH WASHINGTON,(701)-223-9582,BISMARCK,ND,58504
2/13/2026,MIDSTATES,IA-TRLR,4X6T,2,1200.98,12535909,RUNNINGS,4397716-14,Jeff Good,RUNNINGABE,USA,IA,IA25-1913,1815 6TH AVENUE SE,(605)-226-2600,ABERDEEN,SD,57401
2/13/2026,MIDSTATES,IA-TRLR,5X10GW2K,2,2253.64,12535909,RUNNINGS,4397716-14,Jeff Good,RUNNINGABE,USA,IA,IA25-1913,1815 6TH AVENUE SE,(605)-226-2600,ABERDEEN,SD,57401
2/13/2026,MIDSTATES,IA-TRLR,5X8GW2K,1,908.98,12535909,RUNNINGS,4397716-14,Jeff Good,RUNNINGABE,USA-NG,IA,IA25-1913,1815 6TH AVENUE SE,(605)-226-2600,ABERDEEN,SD,57401
2/13/2026,MIDSTATES,IA-TRLR,5X8SPWOODY,1,1089.74,12535909,RUNNINGS,4397716-14,Jeff Good,RUNNINGABE,USA,IA,IA25-1913,1815 6TH AVENUE SE,(605)-226-2600,ABERDEEN,SD,57401
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,2,3747.14,12535909,RUNNINGS,4397716-14,Jeff Good,RUNNINGABE,USA,IA,IA25-1913,1815 6TH AVENUE SE,(605)-226-2600,ABERDEEN,SD,57401
2/13/2026,MIDSTATES,IA-TRLR,7X14GWRS,2,4892.5,12535909,RUNNINGS,4397716-14,Jeff Good,RUNNINGABE,USA,IA,IA25-1913,1815 6TH AVENUE SE,(605)-226-2600,ABERDEEN,SD,57401
2/13/2026,MIDSTATES,IA-TRLR,4X6T,4,2401.96,12535910,RUNNINGS,4397716-18,Jeff Good,RUNNINGDIC,USA,IA,IA25-1914,2003 3RD AVE WEST,(701)-483-1226,WEST DICKINSON,ND,58601
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,1,1657.27,12535910,RUNNINGS,4397716-18,Jeff Good,RUNNINGDIC,USA,IA,IA25-1914,2003 3RD AVE WEST,(701)-483-1226,WEST DICKINSON,ND,58601
2/13/2026,MIDSTATES,IA-TRLR,5X10GW2K,2,2253.64,12535910,RUNNINGS,4397716-18,Jeff Good,RUNNINGDIC,USA,IA,IA25-1914,2003 3RD AVE WEST,(701)-483-1226,WEST DICKINSON,ND,58601
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,1,1873.57,12535910,RUNNINGS,4397716-18,Jeff Good,RUNNINGDIC,USA,IA,IA25-1914,2003 3RD AVE WEST,(701)-483-1226,WEST DICKINSON,ND,58601
2/13/2026,MIDSTATES,IA-TRLR,7X14GWRS,2,4892.5,12535910,RUNNINGS,4397716-18,Jeff Good,RUNNINGDIC,USA,IA,IA25-1914,2003 3RD AVE WEST,(701)-483-1226,WEST DICKINSON,ND,58601
2/13/2026,MIDSTATES,IA-TRLR,5X10GW2K,1,1126.82,12535911,RUNNINGS,4397716-19,Jeff Good,RUNNINGHET,USA,IA,IA25-1915,103 AIRPORT ROAD,(701)997-5712,HETTINGER,ND,58639
2/13/2026,MIDSTATES,IA-TRLR,5X8GW2K,1,908.98,12535911,RUNNINGS,4397716-19,Jeff Good,RUNNINGHET,USA-NG,IA,IA25-1915,103 AIRPORT ROAD,(701)997-5712,HETTINGER,ND,58639
2/13/2026,MIDSTATES,IA-TRLR,5X8SPWOODY,1,1089.74,12535911,RUNNINGS,4397716-19,Jeff Good,RUNNINGHET,USA,IA,IA25-1915,103 AIRPORT ROAD,(701)997-5712,HETTINGER,ND,58639
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,2,3747.14,12535911,RUNNINGS,4397716-19,Jeff Good,RUNNINGHET,USA,IA,IA25-1915,103 AIRPORT ROAD,(701)997-5712,HETTINGER,ND,58639
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,2,3314.54,12535912,RUNNINGS,4397716-22,Jeff Good,RUNNINGHUR,USA,IA,IA25-1905,3061 DAKOTA AVE S.,(605)-352-1448,HURON,SD,57350
2/13/2026,MIDSTATES,IA-TRLR,5X10GW2K,1,1126.82,12535912,RUNNINGS,4397716-22,Jeff Good,RUNNINGHUR,USA,IA,IA25-1905,3061 DAKOTA AVE S.,(605)-352-1448,HURON,SD,57350
2/13/2026,MIDSTATES,IA-TRLR,5X8GW2K,1,908.98,12535912,RUNNINGS,4397716-22,Jeff Good,RUNNINGHUR,USA-NG,IA,IA25-1905,3061 DAKOTA AVE S.,(605)-352-1448,HURON,SD,57350
2/13/2026,MIDSTATES,IA-TRLR,5X8SPWOODY,2,2179.48,12535912,RUNNINGS,4397716-22,Jeff Good,RUNNINGHUR,USA,IA,IA25-1905,3061 DAKOTA AVE S.,(605)-352-1448,HURON,SD,57350
2/13/2026,MIDSTATES,IA-TRLR,6X10GWHSL3K,2,3798.64,12535912,RUNNINGS,4397716-22,Jeff Good,RUNNINGHUR,USA,IA,IA25-1905,3061 DAKOTA AVE S.,(605)-352-1448,HURON,SD,57350
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,4,7494.28,12535912,RUNNINGS,4397716-22,Jeff Good,RUNNINGHUR,USA,IA,IA25-1905,3061 DAKOTA AVE S.,(605)-352-1448,HURON,SD,57350
2/13/2026,MIDSTATES,IA-TRLR,7X14GWRS,1,2446.25,12535912,RUNNINGS,4397716-22,Jeff Good,RUNNINGHUR,USA,IA,IA25-1905,3061 DAKOTA AVE S.,(605)-352-1448,HURON,SD,57350
2/13/2026,MIDSTATES,IA-TRLR,4X6T,1,600.49,12536010,RUNNINGS,4397716-23,Jeff Good,RUNNINGMIL,USA,IA,IA25-1911,1706 MORNINGSIDE DRIVE,605-438-3301,MILBANK,SD,57252
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,1,1657.27,12536010,RUNNINGS,4397716-23,Jeff Good,RUNNINGMIL,USA,IA,IA25-1911,1706 MORNINGSIDE DRIVE,605-438-3301,MILBANK,SD,57252
2/13/2026,MIDSTATES,IA-TRLR,5X8SPWOODY,3,3269.22,12536010,RUNNINGS,4397716-23,Jeff Good,RUNNINGMIL,USA,IA,IA25-1911,1706 MORNINGSIDE DRIVE,605-438-3301,MILBANK,SD,57252
2/13/2026,MIDSTATES,IA-TRLR,4X6T,1,600.49,12536011,RUNNINGS,4397716-24,Jeff Good,RUNNINGMOB,USA,IA,IA25-1915,914 EAST GRAND CROSSING,605-524-4114,MOBRIDGE,SD,57601
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,3,4971.81,12536011,RUNNINGS,4397716-24,Jeff Good,RUNNINGMOB,USA,IA,IA25-1915,914 EAST GRAND CROSSING,605-524-4114,MOBRIDGE,SD,57601
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,1,1873.57,12536011,RUNNINGS,4397716-24,Jeff Good,RUNNINGMOB,USA,IA,IA25-1915,914 EAST GRAND CROSSING,605-524-4114,MOBRIDGE,SD,57601
2/13/2026,MIDSTATES,IA-TRLR,4X6T,2,1200.98,12536012,RUNNINGS,4397716-26,Jeff Good,RUNNINGSPI,USA,IA,IA25-1906,1600 NORTH HARRISON,605-224-1669,PIERRE,SD,57501
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,5,8286.35,12536012,RUNNINGS,4397716-26,Jeff Good,RUNNINGSPI,USA,IA,IA25-1906,1600 NORTH HARRISON,605-224-1669,PIERRE,SD,57501
2/13/2026,MIDSTATES,IA-TRLR,5X10GW2K,1,1126.82,12536012,RUNNINGS,4397716-26,Jeff Good,RUNNINGSPI,USA,IA,IA25-1906,1600 NORTH HARRISON,605-224-1669,PIERRE,SD,57501
2/13/2026,MIDSTATES,IA-TRLR,5X8GW2K,2,1817.96,12536012,RUNNINGS,4397716-26,Jeff Good,RUNNINGSPI,USA-NG,IA,IA25-1906,1600 NORTH HARRISON,605-224-1669,PIERRE,SD,57501
2/13/2026,MIDSTATES,IA-TRLR,5X8SPWOODY,1,1089.74,12536012,RUNNINGS,4397716-26,Jeff Good,RUNNINGSPI,USA,IA,IA25-1906,1600 NORTH HARRISON,605-224-1669,PIERRE,SD,57501
2/13/2026,MIDSTATES,IA-TRLR,6X10GWHSL3K,1,1899.32,12536012,RUNNINGS,4397716-26,Jeff Good,RUNNINGSPI,USA,IA,IA25-1906,1600 NORTH HARRISON,605-224-1669,PIERRE,SD,57501
2/13/2026,MIDSTATES,IA-TRLR,6X12GWHS,2,4012.88,12536012,RUNNINGS,4397716-26,Jeff Good,RUNNINGSPI,USA,IA,IA25-1906,1600 NORTH HARRISON,605-224-1669,PIERRE,SD,57501
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,1,1873.57,12536012,RUNNINGS,4397716-26,Jeff Good,RUNNINGSPI,USA,IA,IA25-1906,1600 NORTH HARRISON,605-224-1669,PIERRE,SD,57501
2/13/2026,MIDSTATES,IA-TRLR,7X14GWRS,1,2446.25,12536012,RUNNINGS,4397716-26,Jeff Good,RUNNINGSPI,USA,IA,IA25-1906,1600 NORTH HARRISON,605-224-1669,PIERRE,SD,57501
2/13/2026,MIDSTATES,IA-ALTRLR,6X10AGW,1,2410.2,12536013,RUNNINGS,4397716-27,Jeff Good,RUNNINGRAP,USA-AL,IA,IA25-1907,1020 N. LACROSSE,(605)-342-9008,RAPID CITY,SD,57701
2/13/2026,MIDSTATES,IA-TRLR,4X6T,4,2401.96,12536013,RUNNINGS,4397716-27,Jeff Good,RUNNINGRAP,USA,IA,IA25-1907,1020 N. LACROSSE,(605)-342-9008,RAPID CITY,SD,57701
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,6,9943.62,12536013,RUNNINGS,4397716-27,Jeff Good,RUNNINGRAP,USA,IA,IA25-1907,1020 N. LACROSSE,(605)-342-9008,RAPID CITY,SD,57701
2/13/2026,MIDSTATES,IA-TRLR,6X12GWHS,3,6019.32,12536013,RUNNINGS,4397716-27,Jeff Good,RUNNINGRAP,USA,IA,IA25-1907,1020 N. LACROSSE,(605)-342-9008,RAPID CITY,SD,57701
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,3,5620.71,12536013,RUNNINGS,4397716-27,Jeff Good,RUNNINGRAP,USA,IA,IA25-1907,1020 N. LACROSSE,(605)-342-9008,RAPID CITY,SD,57701
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,1,1657.27,12536014,RUNNINGS,4397716-29,Jeff Good,RUNNINGSWI,USA,IA,IA25-1912,326 S US HWY 18,(605)842-2142,WINNER,SD,57580
2/13/2026,MIDSTATES,IA-TRLR,5X8SPWOODY,2,2179.48,12536014,RUNNINGS,4397716-29,Jeff Good,RUNNINGSWI,USA,IA,IA25-1912,326 S US HWY 18,(605)842-2142,WINNER,SD,57580
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,5,9367.85,12536014,RUNNINGS,4397716-29,Jeff Good,RUNNINGSWI,USA,IA,IA25-1912,326 S US HWY 18,(605)842-2142,WINNER,SD,57580
2/13/2026,MIDSTATES,IA-TRLR,4X6T,2,1200.98,12536015,RUNNINGS,4397716-32,Jeff Good,RUNNINGAUS,USA,IA,IA25-1909,1400 18TH AVE NW,(507)433-7437,AUSTIN,MN,55912
2/13/2026,MIDSTATES,IA-TRLR,5X8GW2K,1,908.98,12536015,RUNNINGS,4397716-32,Jeff Good,RUNNINGAUS,USA-NG,IA,IA25-1909,1400 18TH AVE NW,(507)433-7437,AUSTIN,MN,55912
2/13/2026,MIDSTATES,IA-TRLR,6X12GWHS,2,4012.88,12536015,RUNNINGS,4397716-32,Jeff Good,RUNNINGAUS,USA,IA,IA25-1909,1400 18TH AVE NW,(507)433-7437,AUSTIN,MN,55912
2/13/2026,MIDSTATES,IA-TRLR,4X6T,3,1801.47,12536016,RUNNINGS,4397716-34,Jeff Good,RUNNINGBEL,USA,IA,IA25-1912,19010 US HWY 85,(605)-892-2588,BELLE FOURCHE,SD,57717
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,1,1657.27,12536016,RUNNINGS,4397716-34,Jeff Good,RUNNINGBEL,USA,IA,IA25-1912,19010 US HWY 85,(605)-892-2588,BELLE FOURCHE,SD,57717
2/13/2026,MIDSTATES,IA-TRLR,5X8GW2K,1,908.98,12536016,RUNNINGS,4397716-34,Jeff Good,RUNNINGBEL,USA-NG,IA,IA25-1912,19010 US HWY 85,(605)-892-2588,BELLE FOURCHE,SD,57717
2/13/2026,MIDSTATES,IA-TRLR,7X14GWRS,2,4892.5,12536016,RUNNINGS,4397716-34,Jeff Good,RUNNINGBEL,USA,IA,IA25-1912,19010 US HWY 85,(605)-892-2588,BELLE FOURCHE,SD,57717
2/13/2026,MIDSTATES,VA-ALTRLR,6X10AGW,2,4820.4,12536017,RUNNINGS,4397716-37,Jeff Good,RUNNINCLAY,USA-AL,VA,VA25-2835,3949 STATE ROUTE 31,315-622-3249,LIVERPOOL,NY,13090
2/13/2026,MIDSTATES,VA-TRLR,4X6T,3,1801.47,12536017,RUNNINGS,4397716-37,Jeff Good,RUNNINCLAY,USA,VA,VA25-2835,3949 STATE ROUTE 31,315-622-3249,LIVERPOOL,NY,13090
2/13/2026,MIDSTATES,VA-TRLR,5.5X10GWPTLED,3,4971.81,12536017,RUNNINGS,4397716-37,Jeff Good,RUNNINCLAY,USA,VA,VA25-2835,3949 STATE ROUTE 31,315-622-3249,LIVERPOOL,NY,13090
2/13/2026,MIDSTATES,VA-TRLR,5X8SPWOODY,1,1089.74,12536017,RUNNINGS,4397716-37,Jeff Good,RUNNINCLAY,USA,VA,VA25-2835,3949 STATE ROUTE 31,315-622-3249,LIVERPOOL,NY,13090
2/13/2026,MIDSTATES,VA-TRLR,6X12GWHS,3,6019.32,12536017,RUNNINGS,4397716-37,Jeff Good,RUNNINCLAY,USA,VA,VA25-2835,3949 STATE ROUTE 31,315-622-3249,LIVERPOOL,NY,13090
2/13/2026,MIDSTATES,VA-TRLR,6X12GWPTLED,3,5620.71,12536017,RUNNINGS,4397716-37,Jeff Good,RUNNINCLAY,USA,VA,VA25-2835,3949 STATE ROUTE 31,315-622-3249,LIVERPOOL,NY,13090
1/24/2026,TRACTOR SUPPLY,VA-CARGO,6X12CGRVCM3K-TSC,1,4234,12536018,TRACTOR SUPPLY COMPANY,1040832674,Jason Miller,TSC02915,CARGO-VA,VA,VA25-2840,812 S BROADWAY,,PENNSVILLE,NJ,80709608
1/24/2026,TRACTOR SUPPLY,VA-TRLR,5X8SPM2K,3,2865,12536018,TRACTOR SUPPLY COMPANY,1040832674,Jason Miller,TSC02915,USA,VA,VA25-2840,812 S BROADWAY,,PENNSVILLE,NJ,80709608
1/24/2026,TRACTOR SUPPLY,VA-TRLR,6X11SF3K,1,2095,12536018,TRACTOR SUPPLY COMPANY,1040832674,Jason Miller,TSC02915,USA,VA,VA25-2840,812 S BROADWAY,,PENNSVILLE,NJ,80709608
1/24/2026,TRACTOR SUPPLY,VA-TRLR,6X14GW2BRK-TSC,1,3029,12536018,TRACTOR SUPPLY COMPANY,1040832674,Jason Miller,TSC02915,UTA,VA,VA25-2840,812 S BROADWAY,,PENNSVILLE,NJ,80709608
1/24/2026,TRACTOR SUPPLY,VA-TRLR,7X12GWHS16,1,2164,12536018,TRACTOR SUPPLY COMPANY,1040832674,Jason Miller,TSC02915,USA,VA,VA25-2840,812 S BROADWAY,,PENNSVILLE,NJ,80709608
2/13/2026,MIDSTATES,IA-TRLR,5X8SPWOODY,3,3269.22,12536062,RUNNINGS,4397716-41,Jeff Good,RUNNINGMOO,USA,IA,IA26-1018,3000 US HWY 10,(218) 512-0382,MOORHEAD,MN,56560
