order_id,so_num,order_due_date,order_created_date,order_ship_date,plant,customer,cust_name,address1,address2,city,state,zip,normalized_zip,dest_lat,dest_lng,origin_plant_lat,origin_plant_lng,origin_to_dest_miles_haversine,ia_state_rate_per_mile,standalone_estimated_cost_single_stop,requires_return_to_origin_lowes_rule,total_qty,total_sales,order_total_length_ft,order_utilization_pct,order_utilization_grade,order_utilization_credit_ft,order_exceeds_capacity,line_count,order_is_excluded,needs_review,order_status,last_seen_at,closed_at,last_upload_id,days_until_due,window_start_date,window_end_date,line_rows_in_export,order_has_blocking_line_assignment,order_has_any_excluded_line,order_has_any_eligible_line_now
4917,12600660,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #6,MATTOON RURAL KING SUPPLY #6,201 Walk Ave,(217)-347-2533,Effingham,IL,62401,62401,39.11843,-88.56467,41.55944,-95.9025,421.49,2.7,1193.01,0,6,8253.74,25.0,39.2,F,20.8,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,4,1,0,0
5305,12600661,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #7,MATTOON RURAL KING SUPPLY #7,740 N Market St,(618)-939-0011,Waterloo,IL,62298,62298,38.30906,-90.15132,41.55944,-95.9025,378.4,2.7,1076.67,0,5,5289.25,21.0,29.1,F,15.4,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,3,1,0,0
4704,12600665,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #11,MATTOON RURAL KING SUPPLY #11,1475 18th St,(217)-345-8030,Charleston,IL,61920,61920,39.50415,-88.16448,41.55944,-95.9025,430.29,2.7,1216.79,0,6,8253.74,25.0,39.2,F,20.8,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,4,1,0,0
4772,12600668,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #16,MATTOON RURAL KING SUPPLY #16,1301 Enterprise Way,(618)-993-0660,Marion,IL,62959,62959,37.71442,-88.91463,41.55944,-95.9025,456.75,2.7,1288.23,0,5,6084.5,21.0,29.1,F,15.4,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,3,1,0,0
4804,12600684,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #37,MATTOON RURAL KING SUPPLY #37,1920 S Mount Zion Rd,217-864-5700,Decatur,IL,62521,62521,39.81435,-88.93086,41.55944,-95.9025,384.54,2.7,1093.25,0,5,6653.74,25.0,36.6,F,19.4,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,4,1,0,0
5389,12600687,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #40,MATTOON RURAL KING SUPPLY #40,62 Rend Lake Plaza,(618) 439-4159,Benton,IL,62812,62812,38.00487,-88.92249,41.55944,-95.9025,444.4,2.7,1254.89,0,5,5289.25,21.0,29.1,F,15.4,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,3,1,0,0
4853,12600688,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #41,MATTOON RURAL KING SUPPLY #41,550 E Industrial Park Rd,618-684-3123,Murphysboro,IL,62966,62966,37.7693,-89.35198,41.55944,-95.9025,435.66,2.7,1231.28,0,7,10422.98,31.0,49.9,D,26.5,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,4,1,0,0
4915,12600691,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #44,MATTOON RURAL KING SUPPLY #44,913 W Marketview Dr,(217)-403-1011,Champaign,IL,61822,61822,40.13693,-88.30453,41.55944,-95.9025,408.96,2.7,1159.2,0,6,7458.49,25.0,39.2,F,20.8,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,4,1,0,0
4716,12600692,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #45,MATTOON RURAL KING SUPPLY #45,15190 Veterans Memorial Pkwy,636-332-9003,Wentzville,MO,63385,63385,38.79732,-90.85649,41.55944,-95.9025,327.61,2.75,955.94,0,5,6653.74,25.0,36.6,F,19.4,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,4,1,0,0
5362,12600693,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #46,MATTOON RURAL KING SUPPLY #46,9525 Collinsville Rd,618-344-0105,Collinsville,IL,62234,62234,38.68214,-89.9815,41.55944,-95.9025,370.55,2.7,1055.47,0,10,23780.36,45.0,79.6,B,42.2,0,5,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,5,1,0,0
4803,12600694,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #47,MATTOON RURAL KING SUPPLY #47,701 N Commercial St,,Harrisburg,IL,62946,62946,37.7028,-88.52887,41.55944,-95.9025,474.05,2.7,1334.95,0,3,3679.75,14.0,18.5,F,9.8,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,3,1,0,0
4854,12600696,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #50,MATTOON RURAL KING SUPPLY #50,1350 38th St,815-220-0361,Peru,IL,61354,61354,41.33158,-89.14281,41.55944,-95.9025,350.38,2.7,1001.02,0,6,13240.099999999999,31.0,51.1,D,27.1,0,5,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,5,1,0,0
5368,12600701,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #55,MATTOON RURAL KING SUPPLY #55,15606 W US Highway 34,630-552-8754,Plano,IL,60545,60545,41.67815,-88.53587,41.55944,-95.9025,380.5,2.7,1082.36,0,8,22740.1,53.0,86.5,A,45.9,1,6,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,6,1,0,0
147,12545720,2026-02-16,2025-12-22,2026-02-16,IA,"LOWE'S OF CARBONDALE, ILL.","LOWE'S OF CARBONDALE, ILL.",1170 RENDLEMAN RD,(618)-529-8400,CARBONDALE,IL,62901,62901,37.74003,-89.20946,41.55944,-95.9025,442.99,2.7,1251.08,1,5,4216.2,7.0,13.2,F,7.0,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,3,2026-02-13,2026-02-27,1,1,0,0
3343,12546586,2026-02-16,2025-12-22,2026-02-16,IA,"LOWE'S OF QUINCY, IL","LOWE'S OF QUINCY, IL",6030 BROADWAY STREET,(217)-228-4250,QUINCY,IL,62305,62305,39.92915,-91.34441,41.55944,-95.9025,263.82,2.7,800.0,1,4,6408.31,16.0,29.7,F,15.7,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,3,2026-02-13,2026-02-27,4,1,0,0
631,12546785,2026-02-16,2025-12-22,2026-02-16,IA,"LOWE'S OF BELLEVILLE, IL","LOWE'S OF BELLEVILLE, IL",2501 GREENMOUNT COMMONS,618-239-3908,BELLEVILLE,IL,62221,62221,38.51187,-89.89922,41.55944,-95.9025,380.92,2.7,1083.48,1,4,6285.0,23.0,32.8,F,17.4,0,2,0,0,OPEN,2026-02-12T22:59:23,,18,3,2026-02-13,2026-02-27,2,1,0,0
5628,12600393,2026-02-16,2026-01-08,2026-02-16,IA,QUINCY FARM SUPPLY CO,QUINCY FARM SUPPLY CO,1203 W. MORTON,(217)-245-4129,JACKSONVILLE,IL,62650,62650,39.73799,-90.22027,41.55944,-95.9025,323.31,2.7,927.92,0,10,13518.75,37.0,61.9,C,32.8,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,3,2026-02-13,2026-02-27,3,1,0,0
4837,12600403,2026-02-16,2026-01-08,2026-02-16,IA,QUINCY FARM SUPPLY CO,QUINCY FARM SUPPLY CO,2600 HOMER M ADAMS PKWY,(618)-462-9688,ALTON,IL,62002,62002,38.93988,-90.12829,41.55944,-95.9025,354.13,2.7,1011.16,0,5,7467.5,23.0,32.8,F,17.4,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,3,2026-02-13,2026-02-27,3,1,0,0
4970,12600407,2026-02-16,2026-01-08,2026-02-16,IA,QUINCY FARM SUPPLY CO,QUINCY FARM SUPPLY CO,3030 WABASH,(217)546-6680,SPRINGFIELD,IL,62704,62704,39.77358,-89.68503,41.55944,-95.9025,348.35,2.7,995.53,0,11,16042.25,37.0,64.5,C,34.2,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,3,2026-02-13,2026-02-27,3,1,0,0
4766,12602924,2026-02-17,2026-01-27,2026-02-17,IA,"LOWE'S OF LUDINGTON, MI","LOWE'S OF LUDINGTON, MI",4460 WEST US 10,231-480-5100,LUDINGTON,MI,49431,49431,43.97251,-86.39792,41.55944,-95.9025,509.79,2.2,1176.54,1,4,3372.96,7.0,10.6,F,5.6,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,4,2026-02-13,2026-02-27,1,1,0,0
5141,12603016,2026-02-20,2026-01-27,2026-02-20,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,900 21ST AVE SE,(701) 837-9223,MINOT,ND,58701,58701,48.14027,-101.32406,41.55944,-95.9025,526.28,3.26,1770.68,0,1,4234.0,16.0,30.2,F,16.0,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,7,2026-02-13,2026-02-27,1,1,0,0
6271,12603018,2026-02-20,2026-01-27,2026-02-20,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,2501 NORTH LINCOLN RD,(906)233-0355,ESCANABA,MI,49829,49829,45.76773,-87.16522,41.55944,-95.9025,524.21,2.2,1208.27,0,1,4234.0,16.0,30.2,F,16.0,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,7,2026-02-13,2026-02-27,1,1,0,0
6270,12603019,2026-02-20,2026-01-27,2026-02-20,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,1308 NORTH DIERS AVE,308-384-6411,GRAND ISLAND,NE,68803,68803,40.95357,-98.41593,41.55944,-95.9025,137.1,3.3,800.0,0,1,4234.0,16.0,30.2,F,16.0,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,7,2026-02-13,2026-02-27,1,1,0,0
6897,12603115,2026-02-20,2026-01-27,2026-02-20,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,1120 WEST MAIN ST,920-324-9060,WAUPUN,WI,53963,53963,43.63492,-88.73828,41.55944,-95.9025,391.44,2.22,924.01,0,3,2640.0,7.0,7.9,F,4.2,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,7,2026-02-13,2026-02-27,1,1,0,0
6788,12603201,2026-02-20,2026-01-27,2026-02-20,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,1801 MILWAUKEE AVE,(262)-763-2425,BURLINGTON,WI,53105,53105,42.66412,-88.28045,41.55944,-95.9025,397.94,2.22,938.42,0,1,4234.0,16.0,30.2,F,16.0,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,7,2026-02-13,2026-02-27,1,1,0,0
6121,12603202,2026-02-20,2026-01-27,2026-02-20,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,120 26TH ST EAST STE 101,(701)-572-8341,WILLISTON,ND,58801,58801,48.23522,-103.76747,41.55944,-95.9025,600.16,3.26,2011.53,0,1,4234.0,16.0,30.2,F,16.0,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,7,2026-02-13,2026-02-27,1,1,0,0
6170,12603210,2026-02-20,2026-01-27,2026-02-20,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,504 RIVERSTONE PARKWAY,(815)933-3393,KANKAKEE,IL,60901,60901,41.11029,-87.90049,41.55944,-95.9025,416.17,2.7,1178.67,0,1,4234.0,16.0,30.2,F,16.0,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,7,2026-02-13,2026-02-27,1,1,0,0
5049,12603283,2026-02-20,2026-01-27,2026-02-20,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,4841 8TH ST SOUTH,(715) 424-0690,WISCONSIN RAPIDS,WI,54494,54494,44.34414,-89.74054,41.55944,-95.9025,366.1,2.22,867.74,0,3,2640.0,7.0,7.9,F,4.2,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,7,2026-02-13,2026-02-27,1,1,0,0
5237,12603287,2026-02-20,2026-01-27,2026-02-20,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,W3098 COUNTY RD KK,(920)-739-1635,APPLETON,WI,54915,54915,44.24279,-88.35928,41.55944,-95.9025,424.22,2.22,996.77,0,6,5280.0,14.0,15.8,F,8.4,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,7,2026-02-13,2026-02-27,1,1,0,0
6746,12603320,2026-02-20,2026-01-27,2026-02-20,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,519 U STREET,,ORD,NE,68862,68862,41.60362,-98.93841,41.55944,-95.9025,156.94,3.3,800.0,0,1,4234.0,16.0,30.2,F,16.0,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,7,2026-02-13,2026-02-27,1,1,0,0
5337,12603464,2026-02-20,2026-01-30,2026-02-20,IA,"LOWE'S OF BLAINE, MN","LOWE'S OF BLAINE, MN",11651 ULYSESS STREET,(763) 367-1120,BLAINE,MN,55434,55434,45.1681,-93.25069,41.55944,-95.9025,282.66,3.2,959.52,1,1,1696.81,13.0,6.1,F,3.2,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,7,2026-02-13,2026-02-27,1,1,0,0
6414,12601283,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,3728 SOUTH JEFFERS ST,308-532-2135,NORTH PLATTE,NE,69101,69101,41.1502,-100.80319,41.55944,-95.9025,255.72,3.3,898.86,0,4,7853.0,18.0,32.3,F,17.1,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,4,1,0,0
5747,12601284,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,1445 NORTH ACRES RD,(715)262-4500,PRESCOTT,WI,54021,54021,44.74048,-92.71144,41.55944,-95.9025,272.33,2.22,800.0,0,4,3930.0,12.0,18.1,F,9.6,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,3,1,0,0
6273,12601285,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,1810 SOUTH GALENA AVE,815-284-0422,DIXON,IL,61021,61021,41.82908,-89.47764,41.55944,-95.9025,331.94,2.7,951.24,0,4,5900.0,18.0,28.9,F,15.3,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,3,1,0,0
6447,12601286,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,3000 OSBORN DR EAST STE 100,(402) 461-3440,HASTINGS,NE,68901,68901,40.59092,-98.36599,41.55944,-95.9025,144.72,3.3,800.0,0,4,6832.0,23.0,32.8,F,17.4,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,4,1,0,0
6654,12601326,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,2161 EAST LARAWAY ROAD,(815)463-9444,NEW LENOX,IL,60451,60451,41.50717,-87.96088,41.55944,-95.9025,410.65,2.7,1163.75,0,4,4593.0,14.0,22.5,F,11.9,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,4,1,0,0
6671,12601332,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,8761 NORTHRIDGE WAY,(715) 356-0020,MINOCQUA,WI,54548,54548,45.86218,-89.82663,41.55944,-95.9025,424.6,2.22,997.6,0,5,4735.0,12.0,22.6,F,12.0,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,3,1,0,0
6863,12601338,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,802 N MAIN ST,920-388-6498,KEWAUNEE,WI,54216,54216,44.43651,-87.58069,41.55944,-95.9025,464.87,2.22,1087.02,0,4,4879.0,16.0,28.2,F,14.9,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,3,1,0,0
6604,12601344,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,1810 DORSET LN,715-243-5810,NEW RICHMOND,WI,54017,54017,45.11907,-92.52091,41.55944,-95.9025,298.9,2.22,800.0,0,3,2790.0,7.0,7.9,F,4.2,0,2,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,2,1,0,0
6371,12601359,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,100 POWERS AVE,,MAUSTON,WI,53948,53948,43.77846,-90.05161,41.55944,-95.9025,334.36,2.22,800.0,0,3,5214.0,16.0,23.6,F,12.5,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,3,1,0,0
5384,12601362,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,2179 US HWY 8 STE 1,(715) 483-2640,SAINT CROIX FALLS,WI,54024,54024,45.49873,-92.64781,41.55944,-95.9025,317.23,2.22,800.0,0,1,4234.0,16.0,30.2,F,16.0,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,1,1,0,0
6770,12601370,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,2850 NORTH COURT RD,(641)-682-5459,OTTUMWA,IA,52501,52501,41.03828,-92.43252,41.55944,-95.9025,183.68,3.75,800.0,0,5,7995.0,25.0,36.6,F,19.4,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,4,1,0,0
6175,12601373,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,1911 MARKET WAY,(920)-261-3953,WATERTOWN,WI,53094,53094,43.1462,-88.73365,41.55944,-95.9025,381.99,2.22,903.02,0,3,3638.0,14.0,17.2,F,9.1,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,3,1,0,0
5690,12601375,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,9273 CAFFERTY CT,(651)-451-1897,INVER GROVE HEIGHTS,MN,55076,55076,44.83318,-93.0334,41.55944,-95.9025,268.39,3.2,913.86,0,5,6136.0,21.0,29.1,F,15.4,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,3,1,0,0
6128,12601387,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,3520 NORTH CLIFF AVE,(605)-336-3031,SIOUX FALLS,SD,57104,57104,43.6041,-96.70442,41.55944,-95.9025,147.05,3.5,800.0,0,4,7376.0,18.0,32.3,F,17.1,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,3,1,0,0
5525,12601422,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,3404 E MAIN ST,715-722-0698,MERRILL,WI,54452,54452,45.20879,-89.76743,41.55944,-95.9025,397.92,2.22,938.39,0,3,4760.0,18.0,22.1,F,11.7,0,2,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,2,1,0,0
6902,12601423,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,1602 HIGHWAY 71,,INTERNATIONAL FALLS,MN,56649,56649,48.53122,-93.13224,41.55944,-95.9025,500.27,3.2,1655.85,0,3,2640.0,7.0,7.9,F,4.2,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,1,1,0,0
5868,12601429,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,1020 W CHESTNUT ST HOOPESTON,,HOOPESTON,IL,60942,60942,40.46678,-87.66134,41.55944,-95.9025,436.08,2.7,1232.43,0,3,5214.0,16.0,23.6,F,12.5,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,3,1,0,0
6906,12601430,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,39172 N GREEN BAY RD,,BEACH PARK,IL,60087,60087,42.40444,-87.85631,41.55944,-95.9025,417.23,2.7,1181.51,0,4,4804.0,16.0,28.2,F,14.9,0,2,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,2,1,0,0
6160,12601436,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,800 INDEPENDENCE AVE,262-457-2007,HARTFORD,WI,53027,53027,43.31697,-88.37356,41.55944,-95.9025,402.51,2.22,948.58,0,4,3595.0,7.0,10.6,F,5.6,0,2,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,2,1,0,0
6125,12601441,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,500 W 9TH ST N,,LADYSMITH,WI,54848,54848,45.51546,-91.10284,41.55944,-95.9025,363.9,2.22,862.85,0,4,5715.0,18.0,28.9,F,15.3,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,3,1,0,0
5143,12601442,2026-02-21,2026-01-15,2026-02-21,IA,TRACTOR SUPPLY COMPANY,TRACTOR SUPPLY COMPANY,W3098 COUNTY RD KK,(920)-739-1635,APPLETON,WI,54915,54915,44.24279,-88.35928,41.55944,-95.9025,424.22,2.22,996.77,0,1,4234.0,16.0,30.2,F,16.0,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,8,2026-02-13,2026-02-27,1,1,0,0
